0.0058 0.0057 0.0058 0.0058 0.0058
0.006 0.0063 0.0065 0.0066 0.0069
0.0071 0.0074 0.0077 0.0082 0.0086
0.0089 0.0096 0.0099 0.0104 0.0105
0.011 0.0117 0.0124 0.0129 0.014
0.0139 0.015 0.0153 0.0159 0.0158
0.0161 0.017 0.0166 0.0163 0.0159
0.0157 0.015 0.0142 0.0134 0.0127
0.0117 0.0109 0.0101 0.0091 0.0082
0.0076 0.0071 0.0064 0.0056 0.0051
0.0045 0.0038 0.0035 0.0028 0.0024
0.002 0.0017 0.0015 0.0013 9e-04
8e-04 4e-04 4e-04 2e-04 1e-04
0 0 -2e-04 -2e-04 -3e-04
-2e-04 -4e-04 -4e-04 -6e-04 -4e-04
-5e-04 -5e-04 -5e-04 -5e-04 -5e-04
-4e-04
