Wavelength (nm),Absorbance (AU),Std.Dev.
190,2.57178449630737,0.0968767719722014
191,2.8490743637085,0.116655285598034
192,2.57612752914429,0.0526438748904045
193,1.67153787612915,0.00553656492970992
194,1.3465371131897,0.0020508743446655
195,1.06762218475342,0.000892264132498864
196,0.884104728698731,0.000572649464918328
197,0.748150825500488,0.000445332209355889
198,0.643687725067139,0.000315347666380856
199,0.560584545135498,0.000242086801773339
200,0.489469051361084,0.000181664318864582
201,0.429440975189209,0.000172559718752801
202,0.378116607666016,0.000132858846796173
203,0.332958221435547,0.000118689356876516
204,0.29399299621582,0.000121538299308675
205,0.260427474975586,0.000101228833861087
206,0.231315135955811,0.0000951191531356177
207,0.205901622772217,0.000115374886587804
208,0.183840751647949,0.000120019069679279
209,0.166234016418457,0.000132622464302194
210,0.15386438369751,0.000149975709598409
211,0.146925449371338,0.000119456987534498
212,0.145479202270508,0.000164563404923424
213,0.14869499206543,0.000194586955945692
214,0.155192852020264,0.000156242591153268
215,0.163840293884277,0.000152757669409388
216,0.174065589904785,0.000124376828157241
217,0.185523509979248,0.000134187093662917
218,0.197603702545166,0.000141671200597457
219,0.209860324859619,0.000132413137040018
220,0.222295761108398,0.000115622932938757
221,0.234288692474365,0.00013735890065183
222,0.245217800140381,0.000116285713765535
223,0.254934787750244,0.000110825408639411
224,0.262997627258301,0.000104450197199992
225,0.269124031066895,0.000102629713734533
226,0.273643493652344,0.000115609166547917
227,0.276134014129639,0.000102941621891766
228,0.276557922363281,0.00011823446330745
229,0.274291038513184,0.000109531477717991
230,0.268702983856201,0.0000929331032949816
231,0.260293960571289,0.0000783291213927501
232,0.248639583587646,0.0000824762890062057
233,0.234753608703613,0.000100862049288526
234,0.219844341278076,0.000110595386417306
235,0.204411506652832,0.000105739647797056
236,0.188199996948242,0.0000944546890156415
237,0.170125007629395,0.0000962242735041387
238,0.150718688964844,0.000072430606883428
239,0.130736827850342,0.0000761627022098595
240,0.110927581787109,0.0000970454410926071
241,0.0925240516662598,0.000106190254072262
242,0.0766830444335938,0.000148895409097853
243,0.0640220642089844,0.000144851795880829
244,0.0547680854797363,0.000103457181470475
245,0.0492739677429199,0.000115309833893599
246,0.0473952293395996,0.000146453451826548
247,0.0484428405761719,0.000139673409613388
248,0.0519232749938965,0.000152644504534951
249,0.0575299263000488,0.000148815980284951
250,0.0654253959655762,0.000147600935248625
251,0.0754094123840332,0.000123948313834228
252,0.0869312286376953,0.000114641411313581
253,0.100135803222656,0.000154554096831382
254,0.114675998687744,0.00013879811516355
255,0.131050109863281,0.000134220978437494
256,0.149199485778809,0.000116568887752429
257,0.169247150421143,0.000141378799898937
258,0.191163539886475,0.000114494549582083
259,0.214695930480957,0.000156617598330507
260,0.23987340927124,0.000138335382386446
261,0.26779317855835,0.000160322268468247
262,0.297607898712158,0.000178808212188718
263,0.329648494720459,0.000130716016471617
264,0.364028930664062,0.000169628075152641
265,0.40033483505249,0.000197177786556674
266,0.438626289367676,0.000179382057488273
267,0.480362892150879,0.000169973552932563
268,0.523427963256836,0.000189063377651727
269,0.569549083709717,0.000197974151540555
270,0.617321968078613,0.000248043338119642
271,0.666795253753662,0.000314226642414796
272,0.718785285949707,0.000470493075883075
273,0.772421836853027,0.000349591561748048
274,0.82767391204834,0.000414820922297126
275,0.883045196533203,0.000620260860289897
276,0.938502788543701,0.000618216387325528
277,0.994837284088135,0.000672512843964814
278,1.05377626419067,0.000728277561265974
279,1.11100721359253,0.000820629961028941
280,1.16834020614624,0.00128189721711536
281,1.22373485565186,0.00154814684244517
282,1.28197526931763,0.0013115237655696
283,1.33570575714111,0.00274055667757237
284,1.38676643371582,0.00346290477356062
285,1.43745946884155,0.0026871936257518
286,1.47260284423828,0.00214123820132931
287,1.51259851455688,0.00241831348408305
288,1.54820108413696,0.00341442469371292
289,1.57827520370483,0.00432693629690743
290,1.62175941467285,0.00280330160428831
291,1.63084316253662,0.00361720207491548
292,1.63209390640259,0.00376091233638496
293,1.63148784637451,0.00293556260074913
294,1.63905382156372,0.00267542753178832
295,1.63133382797241,0.0026331913276502
296,1.60371494293213,0.00363332242360723
297,1.56941413879395,0.00313247739754793
298,1.52231740951538,0.00198575420959441
299,1.47465658187866,0.00112333604987246
300,1.42753791809082,0.0016496437685229
301,1.37181806564331,0.00150475180994537
302,1.30334711074829,0.0012956949317128
303,1.22631311416626,0.000922005305738928
304,1.14960336685181,0.000937981233664651
305,1.07174873352051,0.000776888174714832
306,0.992588043212891,0.000825333358007449
307,0.911395072937012,0.000699973560742913
308,0.830070018768311,0.000465439966058672
309,0.753501415252686,0.000460584216185414
310,0.678190231323242,0.000395543823839769
311,0.604952812194824,0.000287927527437037
312,0.53519868850708,0.000258049538044552
313,0.470598697662354,0.000128541006091865
314,0.409838676452637,0.000126353749429615
315,0.353020191192627,0.000136765010279172
316,0.301424503326416,0.000194320356700497
317,0.254836559295654,0.00016223398896226
318,0.211851596832275,0.000118253692488267
319,0.174472808837891,0.000128374623645507
320,0.141434192657471,0.000110927943132634
321,0.1127610206604,0.000111463681859021
322,0.0879325866699219,0.000111375932038663
323,0.0670919418334961,0.00011235562496203
324,0.0488266944885254,0.0000922381059418224
325,0.0340237617492676,0.000128625884331076
326,0.0214648246765137,0.000098745595839549
327,0.0113511085510254,0.000139689687617011
328,0.0028223991394043,0.000119802904341583
329,-0.00392770767211914,0.000153725082000843
330,-0.00921440124511719,0.000135374732652458
331,-0.0137624740600586,0.000105550250351989
332,-0.0170626640319824,0.000147748745618884
333,-0.0197043418884277,0.000126130413950847
334,-0.0219306945800781,0.000153574140422063
335,-0.0237717628479004,0.000139158043929013
336,-0.0253410339355469,0.000134664081546084
337,-0.0265889167785645,0.000108628905030626
338,-0.0272464752197266,0.00009223317566382
339,-0.0276103019714355,0.000100904871965371
340,-0.0284528732299805,0.000129857388182467
341,-0.0288243293762207,0.000104693721867247
342,-0.0291585922241211,0.0000824225131556475
343,-0.0297670364379883,0.000137199897385509
344,-0.0298504829406738,0.000175496805044532
345,-0.0295953750610352,0.000143343309235046
346,-0.030057430267334,0.000184397312671532
347,-0.0300107002258301,0.00018014097523678
348,-0.0301728248596191,0.00018992729888491
349,-0.0303564071655273,0.000205352456382688
350,-0.0306143760681152,0.000213984626212866
351,-0.0306801795959473,0.000190649013272173
352,-0.0305867195129395,0.000210539670311818
353,-0.0304684638977051,0.000170409085241685
354,-0.0304388999938965,0.000256323813283269
355,-0.0301699638366699,0.000224974176637372
