l.nm,25-espolon,27-espolon,5-sm,22-arette,2-pueblo-viejo,3-san-matias,9-tres alegres,26-espolon,15-don-eduardo,24-espolon,7-sm,17-herradura1,11-quiote,10-centenario-plata,b37,26,28,16,17,mh1,mh2,mh3,blanco55,blanco54,28a,b38,n4,n5,n5a,n9,p6a,n7,n12,n8,n11a,n13,n10,n6,p13,p12,p5,p7,p8a,p9,p6,p8,p4
324,0.0756,0.0909,0.1206,0.0269,0.06,0.1457,0.1208,0.777,0.1227,0.0625,0.0501,0.037,0.06,0.0434,0.0173,0.0892,0.0551,0.019,0.0269,0.3249,0.297,0.0262,0.3748,0.005,0.0351,0.0094,0.0026,0.0174,0.01,0.0098,0.0127,0.0673,0.1072,0.0769,0.0798,0.0758,0.0073,0.0784,0.0027,0.0457,0.0912,0.0173,0.0084,0.0041,0.0124,0.0108,0.0757
324.5,0.0733,0.0874,0.117,0.0258,0.0589,0.1429,0.1194,0.7709,0.1177,0.0601,0.0503,0.0359,0.0589,0.0419,0.0168,0.0869,0.0524,0.0182,0.0259,0.3183,0.2909,0.0248,0.3672,0.0045,0.0321,0.0093,0.0023,0.017,0.0097,0.0092,0.0123,0.0638,0.1028,0.0731,0.0758,0.0712,0.0072,0.0732,0.0024,0.0429,0.0861,0.017,0.0082,0.0038,0.012,0.0104,0.0715
325,0.0712,0.0837,0.1135,0.0248,0.0578,0.1398,0.1182,0.7635,0.1126,0.0582,0.0472,0.0347,0.0578,0.0403,0.0161,0.0849,0.0498,0.0176,0.0251,0.3114,0.2849,0.0237,0.3589,0.0041,0.0291,0.0089,0.002,0.0165,0.0094,0.0089,0.012,0.0602,0.0985,0.0691,0.0719,0.0664,0.0069,0.0683,0.0022,0.0401,0.0811,0.0167,0.0078,0.0036,0.0118,0.0101,0.067
325.5,0.0692,0.0808,0.1108,0.024,0.0571,0.1375,0.117,0.7571,0.1085,0.0565,0.046,0.034,0.0571,0.0392,0.0158,0.0832,0.0477,0.0171,0.0242,0.3058,0.2796,0.0227,0.3522,0.0038,0.0268,0.009,0.0019,0.0163,0.0093,0.009,0.0119,0.0574,0.0951,0.0664,0.0686,0.0627,0.0068,0.0645,0.0021,0.0378,0.0769,0.0162,0.008,0.0032,0.0114,0.0101,0.064
326,0.067,0.077,0.1072,0.0226,0.0555,0.1345,0.1151,0.75,0.1037,0.0541,0.0452,0.0322,0.0555,0.0371,0.0146,0.0812,0.0448,0.016,0.0228,0.2994,0.2735,0.0213,0.3448,0.0027,0.0238,0.008,0.0011,0.0158,0.0086,0.008,0.0111,0.0542,0.0911,0.0626,0.0648,0.0582,0.006,0.0599,0.0013,0.0348,0.0726,0.0155,0.0071,0.0026,0.0109,0.0092,0.0599
326.5,0.0664,0.0755,0.1058,0.0233,0.0559,0.1334,0.1154,0.7439,0.1014,0.0538,0.0438,0.0327,0.0559,0.0375,0.0166,0.0808,0.0442,0.017,0.0236,0.2951,0.2715,0.0216,0.3397,0.0033,0.0232,0.0106,0.003,0.0172,0.0099,0.0094,0.0124,0.0526,0.0889,0.0615,0.0631,0.0559,0.0068,0.0577,0.0025,0.034,0.0703,0.0167,0.0086,0.0042,0.012,0.0109,0.0582
327,0.0631,0.0714,0.1016,0.0214,0.054,0.1298,0.1127,0.7358,0.0959,0.0507,0.0427,0.0304,0.054,0.0349,0.0148,0.0778,0.0407,0.015,0.0213,0.2886,0.2655,0.0191,0.3316,0.0016,0.0197,0.009,0.0019,0.0155,0.0083,0.0076,0.0105,0.049,0.085,0.0572,0.0589,0.0516,0.0058,0.0532,1.00E-03,0.0308,0.0653,0.0147,0.0071,0.0022,0.01,0.0092,0.0537
327.5,0.0613,0.0692,0.0988,0.0198,0.0525,0.1272,0.1116,0.7278,0.0928,0.0492,0.042,0.0291,0.0525,0.0329,0.0145,0.076,0.0391,0.014,0.0205,0.2828,0.2606,0.0187,0.3254,0.0014,0.0175,0.0086,0.0012,0.0148,0.0078,0.0079,0.01,0.0466,0.0818,0.0544,0.0563,0.0485,0.0052,0.0499,1.00E-03,0.0289,0.062,0.0142,0.0062,0.0018,0.0095,0.0085,0.0508
328,0.0599,0.0668,0.0964,0.0195,0.0523,0.1259,0.1105,0.7222,0.09,0.048,0.0412,0.0291,0.0523,0.0323,0.0142,0.075,0.0374,0.0143,0.0201,0.279,0.2556,0.0175,0.3212,0.0012,0.016,0.0083,0.0014,0.0149,0.0079,0.0074,0.0106,0.0452,0.0803,0.0532,0.0544,0.046,0.005,0.0474,4.00E-04,0.0275,0.0596,0.0145,0.0065,0.0023,0.0097,0.0088,0.0492
328.5,0.058,0.0644,0.0944,0.0187,0.0512,0.1234,0.1087,0.717,0.087,0.0463,0.0403,0.0279,0.0512,0.0312,0.0138,0.0735,0.0354,0.0134,0.0187,0.2737,0.2524,0.0167,0.3152,1.00E-04,0.0146,0.0082,4.00E-04,0.0148,0.0077,0.0068,0.0096,0.0428,0.0775,0.0509,0.0522,0.0437,0.0049,0.0445,1.00E-04,0.0255,0.0569,0.0137,0.006,0.0012,0.0088,0.008,0.0464
329,0.0568,0.0629,0.0928,0.0182,0.0511,0.1216,0.1076,0.7093,0.0844,0.0457,0.0398,0.0279,0.0511,0.0308,0.0132,0.0724,0.0345,0.0131,0.0185,0.2694,0.2478,0.0165,0.3109,6.00E-04,0.0131,0.0078,8.00E-04,0.0146,0.0076,0.0077,0.0097,0.0417,0.0755,0.0493,0.0501,0.0417,0.0047,0.0426,0,0.0241,0.0544,0.0137,0.0062,0.0017,0.0092,0.0077,0.0448
329.5,0.0557,0.0607,0.0902,0.0174,0.0498,0.1195,0.1062,0.7041,0.0819,0.0441,0.0387,0.0267,0.0498,0.0297,0.013,0.0713,0.0331,0.0128,0.0181,0.2649,0.2438,0.0153,0.3061,0,0.012,0.0078,5.00E-04,0.0145,0.0072,0.0066,0.0093,0.0396,0.073,0.0476,0.0486,0.0393,0.0041,0.0405,0,0.0234,0.0524,0.0129,0.0058,0.0012,0.0089,0.0076,0.0433
330,0.0546,0.0592,0.0896,0.0169,0.0495,0.1178,0.1058,0.698,0.0798,0.0433,0.0381,0.0265,0.0495,0.0293,0.0128,0.07,0.032,0.0125,0.0179,0.2607,0.2404,0.0153,0.3011,0,0.0111,0.008,3.00E-04,0.014,0.0074,0.0067,0.0095,0.0386,0.0718,0.0464,0.0469,0.0379,0.0049,0.039,1.00E-04,0.0225,0.0508,0.0132,0.0059,0.0014,0.0088,0.0075,0.0415
330.5,0.0528,0.0575,0.0868,0.0165,0.0486,0.1164,0.1041,0.692,0.0773,0.0421,0.0374,0.0253,0.0486,0.0279,0.012,0.0688,0.0308,0.0118,0.0169,0.2575,0.2365,0.0144,0.2971,-1.00E-03,0.0096,0.0071,0,0.0137,0.0068,0.0058,0.0089,0.0374,0.0699,0.0452,0.0455,0.0358,0.0044,0.037,0,0.0208,0.0489,0.0127,0.0052,1.00E-03,0.008,0.0072,0.0399
331,0.0521,0.056,0.0848,0.0165,0.0478,0.1152,0.1035,0.6852,0.0754,0.0409,0.0369,0.0247,0.0478,0.0274,0.0121,0.068,0.03,0.0122,0.0165,0.2533,0.233,0.0136,0.2926,-1.00E-03,0.0091,0.0074,0,0.0138,0.0069,0.0063,0.0088,0.0363,0.0681,0.0435,0.0439,0.0346,0.004,0.0352,0,0.0202,0.0474,0.0126,0.0055,0.0011,0.008,0.0071,0.0389
331.5,0.0503,0.0544,0.0835,0.0155,0.0471,0.1138,0.1023,0.6802,0.074,0.0399,0.0364,0.0239,0.0471,0.0265,0.0116,0.067,0.0289,0.0117,0.0162,0.2494,0.2295,0.0133,0.289,-1.00E-03,0.008,0.0065,0,0.0135,0.0067,0.0062,0.0087,0.0348,0.0668,0.0421,0.0426,0.033,0.0038,0.0336,0,0.0192,0.0456,0.0122,0.0051,9.00E-04,0.0074,0.0068,0.037
332,0.0497,0.0536,0.0823,0.0152,0.0469,0.1126,0.1017,0.6739,0.0724,0.0393,0.0359,0.0242,0.0469,0.0258,0.0116,0.0665,0.0283,0.0115,0.016,0.2465,0.2262,0.0131,0.2856,-1.00E-03,0.0076,0.0069,0,0.0137,0.0068,0.006,0.009,0.0343,0.0656,0.0415,0.0415,0.0316,0.0038,0.0327,0,0.0187,0.0446,0.012,0.0052,8.00E-04,0.0076,0.0069,0.0363
332.5,0.0487,0.0519,0.0803,0.015,0.0463,0.1112,0.1004,0.669,0.0706,0.0382,0.0348,0.0234,0.0463,0.0248,0.0112,0.0651,0.0277,0.0112,0.0154,0.2424,0.2229,0.0117,0.281,-0.002,0.0064,0.0064,-1.00E-03,0.0132,0.0062,0.0055,0.0083,0.0327,0.0638,0.0399,0.0401,0.0306,0.0034,0.0311,-1.00E-03,0.0179,0.0427,0.0116,0.005,4.00E-04,0.0072,0.0063,0.035
333,0.0476,0.0509,0.0793,0.0143,0.0459,0.1096,0.0995,0.6625,0.0696,0.0375,0.0346,0.0229,0.0459,0.0247,0.0108,0.0641,0.0269,0.0108,0.0152,0.2392,0.2201,0.0115,0.2778,-0.002,0.0059,0.0065,0,0.0132,0.0063,0.0058,0.0086,0.0324,0.0629,0.0395,0.0396,0.0298,0.0035,0.0305,-1.00E-03,0.0171,0.0419,0.0118,0.0048,5.00E-04,0.007,0.0064,0.0344
333.5,0.0469,0.0497,0.0782,0.0143,0.0455,0.1088,0.0988,0.6572,0.0681,0.0368,0.034,0.0226,0.0455,0.0243,0.0106,0.0634,0.0263,0.011,0.0146,0.2358,0.2172,0.0114,0.2748,-0.002,0.0055,0.0066,0,0.0128,0.006,0.0058,0.0084,0.0312,0.062,0.0384,0.0384,0.0283,0.0035,0.0293,-1.00E-03,0.0164,0.0407,0.0113,0.0046,5.00E-04,0.0072,0.0062,0.0331
334,0.0461,0.0492,0.077,0.0137,0.0449,0.1078,0.0974,0.6516,0.0668,0.0362,0.0336,0.022,0.0449,0.0235,0.0106,0.0625,0.0255,0.0105,0.0147,0.2327,0.2144,0.0109,0.2708,-0.002,0.0046,0.0064,0,0.0127,0.0058,0.0053,0.0079,0.0303,0.0607,0.0377,0.0373,0.0276,0.0037,0.0282,-1.00E-03,0.0159,0.0394,0.0114,0.0046,2.00E-04,0.0069,0.0061,0.0321
334.5,0.0452,0.0479,0.0758,0.0132,0.0444,0.1061,0.0965,0.646,0.0656,0.0356,0.033,0.0218,0.0444,0.023,0.0102,0.0615,0.0248,0.01,0.0139,0.2298,0.2109,0.0102,0.2675,-0.003,0.004,0.006,-1.00E-03,0.0126,0.0051,0.0052,0.0078,0.0295,0.0596,0.037,0.0366,0.0264,0.0029,0.0272,-1.00E-03,0.0152,0.0386,0.011,0.0044,3.00E-04,0.0066,0.0061,0.0311
335,0.0442,0.0468,0.0745,0.0131,0.044,0.1053,0.096,0.6411,0.0642,0.0349,0.0322,0.0212,0.044,0.0225,0.0097,0.061,0.0243,0.0102,0.0137,0.2265,0.2082,0.0098,0.2642,-0.003,0.0035,0.0056,-1.00E-03,0.0123,0.0055,0.005,0.0077,0.0293,0.059,0.036,0.0359,0.0259,0.0027,0.0266,-1.00E-03,0.015,0.0376,0.0108,0.0044,2.00E-04,0.0063,0.006,0.0306
335.5,0.0436,0.0463,0.0732,0.0126,0.0436,0.1041,0.0948,0.6353,0.0631,0.0343,0.032,0.021,0.0436,0.0221,0.0093,0.0602,0.0235,0.0099,0.0135,0.2237,0.2057,0.0097,0.2608,-0.003,0.003,0.0055,-1.00E-03,0.0123,0.0055,0.0052,0.0076,0.0284,0.0581,0.0353,0.0354,0.0253,0.0026,0.026,-1.00E-03,0.0142,0.0371,0.0109,0.0042,0,0.0067,0.0059,0.0298
336,0.0427,0.0457,0.0719,0.0123,0.0432,0.1034,0.0942,0.6303,0.062,0.0337,0.0317,0.0208,0.0432,0.0216,0.0093,0.0593,0.0231,0.0099,0.0132,0.2205,0.2027,0.0092,0.2579,-0.003,0.0027,0.0054,-1.00E-03,0.0121,0.0055,0.0049,0.0074,0.0278,0.0569,0.0348,0.0344,0.0243,0.0026,0.0248,-1.00E-03,0.0141,0.0361,0.0104,0.0041,0,0.0063,0.0055,0.0291
336.5,0.042,0.0448,0.071,0.012,0.043,0.1025,0.0932,0.6248,0.0612,0.033,0.0309,0.0203,0.043,0.021,0.009,0.0587,0.0226,0.0095,0.013,0.2178,0.2,0.0089,0.2549,-0.003,0.0022,0.0054,-1.00E-03,0.0121,0.005,0.0046,0.0071,0.0274,0.0562,0.034,0.0338,0.0234,0.0024,0.0242,-1.00E-03,0.0135,0.0356,0.0104,0.0042,0,0.006,0.0055,0.0286
337,0.0412,0.044,0.0701,0.0116,0.0424,0.1013,0.0922,0.6198,0.0599,0.0327,0.0304,0.0202,0.0424,0.0208,0.0091,0.058,0.022,0.0092,0.0126,0.2147,0.1981,0.0087,0.2519,-0.003,0.002,0.005,-1.00E-03,0.0119,0.0053,0.0045,0.007,0.027,0.0554,0.0335,0.0332,0.0235,0.0023,0.0237,-1.00E-03,0.0132,0.0347,0.0104,0.0039,0,0.006,0.0051,0.0279
337.5,0.0409,0.0435,0.0689,0.0116,0.0422,0.1004,0.0917,0.6155,0.0585,0.0321,0.0304,0.02,0.0422,0.0207,0.0087,0.0574,0.0214,0.0091,0.0123,0.2125,0.1954,0.0083,0.2493,-0.003,0.0017,0.0051,-1.00E-03,0.0117,0.0052,0.0047,0.007,0.0264,0.0547,0.0331,0.033,0.0231,0.0021,0.0231,-1.00E-03,0.0126,0.0342,0.0103,0.0041,0,0.0058,0.0051,0.0274
338,0.0399,0.0426,0.068,0.0113,0.0418,0.0993,0.0908,0.6104,0.0578,0.0316,0.0297,0.0196,0.0418,0.0198,0.0086,0.0566,0.0209,0.0089,0.012,0.2093,0.1931,0.0081,0.2465,-0.004,0.0011,0.0051,-0.002,0.0117,0.0049,0.0044,0.0067,0.0261,0.0538,0.0324,0.032,0.0221,0.0019,0.0221,-0.002,0.0124,0.0335,0.01,0.0038,0,0.006,0.005,0.0266
338.5,0.0392,0.042,0.0672,0.0113,0.0415,0.0986,0.0903,0.6052,0.057,0.0312,0.0292,0.019,0.0415,0.0194,0.0085,0.0563,0.0207,0.0092,0.0121,0.2071,0.1908,0.0075,0.2431,-0.004,9.00E-04,0.0047,-0.002,0.0116,0.005,0.0047,0.0068,0.0255,0.0532,0.0319,0.0316,0.0218,0.0021,0.022,-1.00E-03,0.0119,0.0329,0.0099,0.0038,0,0.0056,0.0048,0.0266
339,0.0386,0.041,0.0659,0.0106,0.0408,0.0975,0.0891,0.6007,0.0556,0.0305,0.0289,0.0187,0.0408,0.019,0.0081,0.0552,0.0198,0.0084,0.0112,0.2044,0.1884,0.007,0.241,-0.004,6.00E-04,0.0046,-0.002,0.0114,0.0049,0.0047,0.0064,0.0251,0.0521,0.0314,0.0311,0.021,0.0019,0.0212,-1.00E-03,0.0116,0.0322,0.0096,0.0037,0,0.0053,0.005,0.0261
339.5,0.0379,0.0404,0.065,0.0105,0.0406,0.0967,0.0886,0.5962,0.0554,0.0303,0.0284,0.0186,0.0406,0.019,0.008,0.0548,0.0198,0.0084,0.0116,0.2021,0.1861,0.0068,0.2381,-0.004,5.00E-04,0.0046,-1.00E-03,0.0114,0.0048,0.0045,0.0067,0.0249,0.0521,0.0312,0.0309,0.0208,0.0018,0.0209,-1.00E-03,0.0114,0.0317,0.01,0.0036,0,0.0056,0.0047,0.0257
340,0.0373,0.0397,0.0637,0.0101,0.04,0.0962,0.0877,0.5911,0.0545,0.0292,0.0282,0.0179,0.04,0.0183,0.0078,0.0541,0.019,0.0084,0.0111,0.1997,0.1842,0.0066,0.2351,-0.004,3.00E-04,0.0043,-0.002,0.011,0.0043,0.004,0.0063,0.0242,0.0511,0.0302,0.0297,0.0205,0.0016,0.02,-0.002,0.0108,0.0308,0.0096,0.0034,0,0.0049,0.0044,0.0249
340.5,0.0364,0.0394,0.063,0.0097,0.0397,0.095,0.087,0.5864,0.0537,0.0287,0.028,0.018,0.0397,0.0185,0.0077,0.0534,0.0188,0.008,0.0108,0.197,0.1821,0.0066,0.2328,-0.004,0,0.0044,-0.002,0.0109,0.0044,0.0041,0.0062,0.0236,0.0505,0.0296,0.0297,0.0197,0.0017,0.0199,-1.00E-03,0.0107,0.0301,0.0095,0.0032,0,0.0054,0.0043,0.0242
341,0.036,0.0386,0.0621,0.0097,0.0397,0.0943,0.0862,0.5819,0.0524,0.0284,0.0275,0.0175,0.0397,0.0177,0.0073,0.0527,0.0181,0.0079,0.0105,0.1949,0.1799,0.0061,0.2301,-0.004,0,0.0044,-0.002,0.0108,0.0044,0.0038,0.006,0.0235,0.0496,0.0293,0.0288,0.0194,0.0011,0.0185,-0.002,0.01,0.0299,0.0091,0.0031,0,0.005,0.0046,0.0239
341.5,0.0356,0.0387,0.0616,0.0098,0.0392,0.0939,0.0858,0.5777,0.052,0.0285,0.0275,0.0177,0.0392,0.0178,0.0076,0.0524,0.0178,0.0081,0.0107,0.193,0.1785,0.006,0.2279,-0.004,0,0.0044,-0.002,0.0111,0.0048,0.0039,0.006,0.0231,0.049,0.029,0.0289,0.0192,0.0016,0.0191,-0.002,0.0102,0.0298,0.0092,0.0036,0,0.0051,0.0043,0.0236
342,0.0348,0.0376,0.0597,0.0093,0.0385,0.0925,0.0844,0.5733,0.0508,0.0274,0.0268,0.0169,0.0385,0.0169,0.0071,0.0514,0.0172,0.0076,0.0098,0.1906,0.1761,0.0055,0.2254,-0.004,-1.00E-03,0.004,-0.002,0.0105,0.004,0.0038,0.0057,0.0227,0.0482,0.0284,0.0279,0.0184,0.0012,0.018,-0.002,0.0096,0.0287,0.0089,0.0029,-1.00E-03,0.0047,0.0038,0.0227
342.5,0.0341,0.037,0.0593,0.0092,0.0386,0.0924,0.0843,0.5684,0.0504,0.0274,0.0268,0.017,0.0386,0.017,0.007,0.051,0.0173,0.0078,0.01,0.1886,0.1745,0.0056,0.2227,-0.004,0,0.004,-0.003,0.0107,0.0043,0.0038,0.0057,0.022,0.0478,0.0276,0.0275,0.0184,1.00E-03,0.0178,-0.002,0.0092,0.0285,0.0092,0.0034,0,0.0049,0.0041,0.0228
343,0.0337,0.0368,0.0581,0.0087,0.0381,0.091,0.0832,0.5638,0.0498,0.0269,0.0261,0.0164,0.0381,0.0166,0.0069,0.0507,0.0168,0.0074,0.0098,0.1863,0.1726,0.005,0.2204,-0.004,-1.00E-03,0.0039,-0.002,0.0105,0.0039,0.0034,0.0053,0.0216,0.047,0.0276,0.027,0.0178,8.00E-04,0.0175,-0.002,0.0094,0.0281,0.009,0.003,-1.00E-03,0.0045,0.0038,0.0222
343.5,0.0335,0.0364,0.0576,0.0092,0.038,0.0904,0.0828,0.5598,0.0486,0.0266,0.0261,0.0165,0.038,0.0163,0.0069,0.0498,0.0167,0.0076,0.0097,0.1847,0.171,0.005,0.2182,-0.004,-1.00E-03,0.0041,-0.002,0.0109,0.0039,0.004,0.0058,0.0216,0.0468,0.0274,0.0268,0.0178,0.0011,0.0173,-0.002,0.009,0.0276,0.0088,0.003,0,0.0045,0.0042,0.0223
344,0.0325,0.0353,0.0564,0.0081,0.037,0.0898,0.0819,0.5558,0.0478,0.0256,0.0257,0.016,0.037,0.016,0.0064,0.0492,0.0158,0.007,0.0093,0.1822,0.169,0.0045,0.2157,-0.005,-1.00E-03,0.0037,-0.002,0.0103,0.0038,0.0034,0.0054,0.0209,0.0462,0.0268,0.0262,0.0174,7.00E-04,0.0166,-0.002,0.0084,0.027,0.0086,0.0029,-1.00E-03,0.0042,0.0038,0.0213
344.5,0.0324,0.0352,0.0556,0.0086,0.037,0.0893,0.0813,0.551,0.047,0.0254,0.0254,0.0157,0.037,0.0158,0.0066,0.0488,0.0157,0.0073,0.0089,0.1805,0.1674,0.0044,0.2136,-0.005,-1.00E-03,0.0036,-0.002,0.0104,0.0036,0.0036,0.0054,0.0209,0.0456,0.0263,0.0261,0.017,1.00E-03,0.0166,-0.002,0.0086,0.0268,0.0085,0.0028,-1.00E-03,0.0044,0.0037,0.0213
345,0.0313,0.0344,0.0547,0.0078,0.0366,0.0881,0.0803,0.5472,0.0464,0.0249,0.0251,0.0155,0.0366,0.0153,0.0062,0.048,0.0154,0.0067,0.0089,0.1784,0.1658,0.004,0.2114,-0.005,-0.002,0.0034,-0.003,0.01,0.0036,0.0033,0.0051,0.0204,0.0448,0.0261,0.0256,0.0164,8.00E-04,0.0159,-0.002,0.0079,0.0264,0.0085,0.0029,-1.00E-03,0.0044,0.0036,0.0207
345.5,0.0313,0.0344,0.0543,0.008,0.0364,0.088,0.0802,0.5429,0.0456,0.025,0.0249,0.0157,0.0364,0.0154,0.0065,0.048,0.0152,0.007,0.009,0.177,0.1644,0.0043,0.2095,-0.005,-1.00E-03,0.0034,-0.002,0.01,0.0039,0.0034,0.0051,0.0205,0.0444,0.0258,0.0255,0.0165,9.00E-04,0.0157,-0.002,0.008,0.0262,0.0084,0.003,-1.00E-03,0.0044,0.0036,0.0205
346,0.0307,0.0337,0.0533,0.0074,0.0361,0.087,0.079,0.539,0.0449,0.0245,0.0246,0.0154,0.0361,0.015,0.0058,0.047,0.0149,0.0068,0.0082,0.1752,0.1624,0.0037,0.207,-0.005,-0.002,0.0033,-0.003,0.0098,0.0034,0.003,0.0049,0.0196,0.0435,0.0251,0.0247,0.0158,8.00E-04,0.0151,-0.003,0.0075,0.0254,0.0079,0.0022,-1.00E-03,0.0039,0.003,0.0197
346.5,0.0305,0.0333,0.0525,0.0074,0.0359,0.0864,0.0786,0.5345,0.0443,0.0242,0.0242,0.0152,0.0359,0.0148,0.0058,0.0468,0.0147,0.0067,0.0085,0.1731,0.1612,0.0031,0.2045,-0.005,-0.002,0.0032,-0.003,0.0098,0.0035,0.0032,0.0049,0.0197,0.0432,0.0251,0.0242,0.0158,5.00E-04,0.0149,-0.002,0.0073,0.0254,0.008,0.0027,-1.00E-03,0.0037,0.0034,0.0196
347,0.0295,0.0328,0.0517,0.0072,0.0354,0.0858,0.078,0.5307,0.0436,0.0238,0.0239,0.0148,0.0354,0.0146,0.0058,0.0464,0.0142,0.0066,0.0083,0.1716,0.1598,0.0031,0.2028,-0.005,-0.002,0.003,-0.003,0.0099,0.0035,0.0031,0.0051,0.0193,0.0429,0.0248,0.0241,0.0156,3.00E-04,0.0149,-0.003,0.0075,0.025,0.0081,0.0025,-1.00E-03,0.004,0.0035,0.0196
347.5,0.0295,0.0328,0.0512,0.0074,0.0351,0.0852,0.0773,0.5268,0.0429,0.0235,0.0237,0.0146,0.0351,0.0145,0.0059,0.046,0.0141,0.0068,0.0083,0.17,0.1581,0.003,0.201,-0.005,-0.002,0.0029,-0.003,0.0098,0.0037,0.0031,0.0047,0.0192,0.0426,0.0244,0.0238,0.0152,5.00E-04,0.0146,-0.003,0.0074,0.0246,0.008,0.0025,-1.00E-03,0.0038,0.0033,0.0192
348,0.0288,0.0322,0.0502,0.0068,0.0348,0.0845,0.0768,0.5228,0.0422,0.0232,0.0236,0.0144,0.0348,0.0142,0.0054,0.0454,0.0139,0.0065,0.0077,0.1684,0.1569,0.0028,0.1985,-0.005,-0.003,0.0027,-0.003,0.0096,0.0033,0.0029,0.0046,0.0188,0.0418,0.024,0.0236,0.015,0,0.0136,-0.002,0.007,0.0242,0.0078,0.0023,-1.00E-03,0.0036,0.0029,0.0188
348.5,0.0286,0.0319,0.0495,0.0067,0.0348,0.0838,0.0763,0.5192,0.0416,0.0228,0.0233,0.0142,0.0348,0.0141,0.0053,0.0448,0.0133,0.0064,0.0078,0.1665,0.1552,0.0026,0.1964,-0.005,-0.003,0.0026,-0.003,0.0096,0.0032,0.0031,0.0047,0.0186,0.0416,0.0237,0.0233,0.0147,3.00E-04,0.0136,-0.002,0.007,0.0238,0.0079,0.0026,-1.00E-03,0.0039,0.0031,0.0185
349,0.0281,0.0315,0.0486,0.0065,0.0344,0.083,0.0756,0.5154,0.0407,0.0226,0.0229,0.0142,0.0344,0.0139,0.0053,0.0443,0.013,0.0065,0.0074,0.165,0.1542,0.0024,0.1946,-0.005,-0.003,0.0031,-0.003,0.0095,0.0032,0.0028,0.0046,0.0182,0.041,0.0233,0.0226,0.0145,2.00E-04,0.0132,-0.002,0.0067,0.0234,0.0075,0.0023,-1.00E-03,0.0035,0.003,0.0183
349.5,0.0276,0.031,0.0481,0.0063,0.0344,0.0825,0.0751,0.5112,0.0402,0.0223,0.0228,0.0138,0.0344,0.0138,0.005,0.0438,0.0129,0.0062,0.0075,0.1637,0.1528,0.0023,0.1924,-0.005,-0.003,0.0026,-0.003,0.0096,0.0035,0.0026,0.0046,0.0178,0.0406,0.0229,0.0225,0.0142,2.00E-04,0.013,-0.003,0.0065,0.0232,0.0077,0.0022,-1.00E-03,0.0035,0.003,0.0179
350,0.0274,0.0306,0.0471,0.0062,0.0337,0.0821,0.0746,0.5075,0.0396,0.0218,0.0226,0.0137,0.0337,0.0134,0.0051,0.0433,0.0129,0.006,0.0073,0.162,0.1512,0.0019,0.1904,-0.005,-0.003,0.0026,-0.003,0.0093,0.003,0.0027,0.0043,0.0173,0.0397,0.0225,0.0219,0.0139,0,0.0125,-0.003,0.0064,0.0228,0.0073,0.0022,-1.00E-03,0.0035,0.0027,0.0177
350.5,0.0267,0.0302,0.0464,0.0062,0.0336,0.0815,0.0739,0.5037,0.039,0.0215,0.0221,0.0133,0.0336,0.0132,0.0049,0.0426,0.0123,0.006,0.0073,0.1608,0.1503,0.0018,0.1889,-0.005,-0.003,0.0026,-0.003,0.0092,0.003,0.0027,0.0043,0.0172,0.0397,0.0221,0.0218,0.0135,2.00E-04,0.0122,-0.003,0.0063,0.0225,0.0071,0.0022,-1.00E-03,0.0034,0.0028,0.0173
351,0.0267,0.0298,0.046,0.006,0.0332,0.0809,0.0734,0.5001,0.0386,0.0213,0.022,0.0134,0.0332,0.0129,0.0051,0.0425,0.012,0.0061,0.0068,0.1593,0.1492,0.0017,0.1866,-0.005,-0.003,0.0029,-0.003,0.0091,0.0033,0.0028,0.0044,0.0169,0.0393,0.0221,0.0217,0.0136,0,0.0117,-0.003,0.0062,0.0223,0.0071,0.0022,-1.00E-03,0.0034,0.0029,0.017
351.5,0.0261,0.0295,0.0455,0.0059,0.0329,0.0802,0.0729,0.4968,0.0377,0.021,0.0218,0.013,0.0329,0.013,0.0048,0.0419,0.0118,0.006,0.0069,0.1579,0.148,0.0014,0.1848,-0.005,-0.003,0.0024,-0.003,0.009,0.0026,0.0025,0.0042,0.0165,0.0386,0.0215,0.021,0.0132,1.00E-04,0.0115,-0.003,0.0058,0.0217,0.0072,0.0019,-1.00E-03,0.0031,0.0026,0.0166
352,0.0258,0.0293,0.0444,0.0058,0.0329,0.0798,0.0723,0.4927,0.0373,0.0206,0.0215,0.0127,0.0329,0.0127,0.0046,0.0415,0.0118,0.0057,0.0068,0.1563,0.1465,0.0012,0.1827,-0.005,-0.003,0.0025,-0.003,0.0087,0.0026,0.0024,0.0041,0.0161,0.0379,0.021,0.0206,0.0129,0,0.0112,-0.003,0.0056,0.0215,0.0072,0.0021,-1.00E-03,0.0032,0.0025,0.0165
352.5,0.0254,0.0289,0.0439,0.0055,0.0325,0.079,0.0714,0.4889,0.0365,0.0207,0.0215,0.0127,0.0325,0.0125,0.0046,0.041,0.0116,0.0058,0.0066,0.1548,0.1452,1.00E-03,0.1808,-0.006,-0.004,0.0023,-0.003,0.0087,0.0026,0.0022,0.0038,0.0158,0.0375,0.0206,0.0203,0.0127,0,0.0109,-0.003,0.0055,0.0209,0.0071,0.0018,-1.00E-03,0.0034,0.0026,0.0162
