l.nm,25-espolon,27-espolon,5-sm,22-arette,2-pueblo-viejo,3-san-matias,9-tres alegres,26-espolon,15-don-eduardo,24-espolon,7-sm,17-herradura1,11-quiote,10-centenario-plata,b37,26,28,16,17,mh1,mh2,mh3,blanco55,blanco54,28a,b38,n4,n5,n5a,n9,p6a,n7,n12,n8,n11a,n13,n10,n6,p13,p12,p5,p7,p8a,p9,p6,p8,p4
307,0.3142,0.4669,0.5627,0.1514,0.1479,0.4344,0.2028,1.0653,0.7711,0.2829,0.1998,0.1667,0.1479,0.2059,0.0844,0.2964,0.3803,0.0983,0.1388,0.9064,0.8368,0.1664,1.1225,0.0339,0.3924,0.0367,0.0402,0.0491,0.0386,0.0418,0.0428,0.454,0.5867,0.508,0.5471,0.623,0.0304,0.6576,0.0344,0.3854,0.6702,0.0669,0.0401,0.042,0.0583,0.0488,0.5676
307.5,0.3006,0.4484,0.536,0.144,0.1438,0.4191,0.1991,1.0542,0.7346,0.2712,0.1909,0.1598,0.1438,0.1972,0.0803,0.2853,0.3627,0.0939,0.1322,0.8763,0.809,0.1578,1.0841,0.0325,0.3736,0.0353,0.0379,0.0471,0.0369,0.0398,0.0411,0.4345,0.5617,0.4855,0.5228,0.5948,0.029,0.6271,0.0326,0.3679,0.6398,0.0641,0.0383,0.0399,0.0557,0.0467,0.5416
308,0.288,0.4305,0.5106,0.1371,0.14,0.4043,0.1956,1.0441,0.6993,0.2595,0.1829,0.1533,0.14,0.189,0.0768,0.2747,0.3455,0.0897,0.126,0.8478,0.7828,0.1495,1.0469,0.0313,0.355,0.0337,0.0357,0.0454,0.0354,0.0382,0.0395,0.4154,0.5374,0.4636,0.4992,0.5668,0.0278,0.5975,0.0308,0.3502,0.6102,0.0615,0.0364,0.0379,0.0531,0.0446,0.5164
308.5,0.2764,0.4135,0.4874,0.1305,0.136,0.391,0.1927,1.0345,0.667,0.2488,0.1752,0.1471,0.136,0.1814,0.0735,0.2645,0.3298,0.0858,0.1204,0.8216,0.7575,0.142,1.0129,0.0302,0.3378,0.0324,0.034,0.044,0.034,0.0365,0.0378,0.3979,0.515,0.4432,0.4772,0.5416,0.0265,0.5706,0.0291,0.3339,0.5828,0.0592,0.0346,0.0361,0.0507,0.0426,0.4931
309,0.2647,0.3968,0.4647,0.1243,0.1324,0.3775,0.1897,1.025,0.6353,0.2383,0.1674,0.1408,0.1324,0.1736,0.0702,0.2546,0.3138,0.0818,0.1149,0.7947,0.7328,0.1349,0.9788,0.029,0.3208,0.0309,0.032,0.0421,0.0326,0.0347,0.0367,0.3802,0.4925,0.4233,0.455,0.5164,0.0253,0.5436,0.0276,0.3177,0.5559,0.0566,0.033,0.034,0.0487,0.0407,0.47
309.5,0.2529,0.3789,0.4409,0.1178,0.1284,0.3635,0.1862,1.015,0.602,0.2276,0.1598,0.1349,0.1284,0.1656,0.0669,0.2446,0.2976,0.0778,0.1091,0.7673,0.707,0.1276,0.9435,0.0277,0.3029,0.0296,0.0301,0.0406,0.0311,0.0334,0.0352,0.3615,0.4693,0.4022,0.4324,0.4898,0.0242,0.515,0.026,0.301,0.5273,0.0544,0.0317,0.0324,0.0464,0.0388,0.446
310,0.2421,0.3628,0.4198,0.1119,0.1247,0.351,0.1829,1.0049,0.5714,0.2174,0.1531,0.1289,0.1247,0.1585,0.0636,0.2352,0.2827,0.0744,0.1042,0.7418,0.6834,0.1208,0.9111,0.0265,0.2866,0.0283,0.0284,0.0389,0.03,0.0318,0.0337,0.3442,0.4476,0.3826,0.4112,0.4652,0.0232,0.489,0.0246,0.2856,0.5011,0.0519,0.0301,0.0307,0.0442,0.0372,0.4235
310.5,0.2319,0.3474,0.3998,0.1064,0.1213,0.3389,0.1801,0.9959,0.5424,0.2079,0.1461,0.1233,0.1213,0.1516,0.0607,0.2263,0.2685,0.0707,0.0993,0.7178,0.661,0.1145,0.8794,0.0256,0.2715,0.027,0.0267,0.0375,0.0285,0.0303,0.0322,0.3277,0.4271,0.364,0.391,0.4419,0.022,0.4639,0.0231,0.271,0.4762,0.0498,0.0287,0.0287,0.0421,0.0355,0.4026
311,0.2216,0.3319,0.3804,0.1011,0.1179,0.3269,0.1771,0.9867,0.5143,0.1987,0.14,0.1181,0.1179,0.1449,0.058,0.2175,0.2547,0.0675,0.0945,0.6938,0.6389,0.1082,0.8489,0.0244,0.2561,0.0258,0.025,0.0363,0.0276,0.0292,0.0312,0.3117,0.4067,0.3458,0.3717,0.4191,0.0211,0.4395,0.0218,0.2566,0.4515,0.0478,0.0274,0.0272,0.0401,0.0339,0.3815
311.5,0.2116,0.3159,0.361,0.0957,0.1142,0.3145,0.1741,0.9774,0.4853,0.1893,0.1331,0.1124,0.1142,0.1379,0.0552,0.2087,0.2403,0.0639,0.0895,0.6694,0.6162,0.1025,0.8172,0.0235,0.2404,0.0247,0.0234,0.035,0.0264,0.0276,0.0298,0.295,0.386,0.3272,0.3513,0.3955,0.0202,0.4144,0.0204,0.2417,0.4266,0.0456,0.0262,0.0257,0.0385,0.0324,0.3602
