245	0.57578	0.38708
246	0.56538	0.38174
247	0.55933	0.37861
248	0.55418	0.37664
249	0.55331	0.37717
250	0.55849	0.3798
251	0.56825	0.38443
252	0.58069	0.39071
253	0.59478	0.39771
254	0.60825	0.40547
255	0.62412	0.41587
256	0.6431	0.42747
257	0.66693	0.4406
258	0.69134	0.45539
259	0.70992	0.46915
260	0.72991	0.48439
261	0.75116	0.50104
262	0.76909	0.51787
263	0.79268	0.53581
264	0.81796	0.55464
265	0.84036	0.57351
266	0.8617	0.5922
267	0.89009	0.61317
268	0.91726	0.63329
269	0.93175	0.65038
270	0.94632	0.66833
271	0.96386	0.68523
272	0.98351	0.7022
273	1.00021	0.71845
274	1.01498	0.73192
275	1.03185	0.74635
276	1.04116	0.75612
277	1.0479	0.7635
278	1.05652	0.76912
279	1.06035	0.77066
280	1.05887	0.77208
281	1.05684	0.7728
282	1.04854	0.7661
283	1.03986	0.76019
284	1.0251	0.74944
285	1.00452	0.73333
286	0.98482	0.71896
287	0.95657	0.69864
288	0.93021	0.67681
289	0.90436	0.65527
290	0.86956	0.62921
291	0.83998	0.60359
292	0.80718	0.57633
293	0.77657	0.54904
294	0.74239	0.5211
295	0.70973	0.49322
296	0.67945	0.46621
297	0.64683	0.43901
298	0.61363	0.41269
299	0.58165	0.38605
300	0.54882	0.36058
301	0.51669	0.33588
302	0.48453	0.31151
303	0.4535	0.28844
304	0.42239	0.26506
305	0.3924	0.24284
306	0.36411	0.22201
307	0.33645	0.20201
308	0.31012	0.18314
309	0.28543	0.16539
310	0.26192	0.14864
311	0.24008	0.1329
312	0.21933	0.11813
313	0.20062	0.10459
314	0.18357	0.09228
315	0.16743	0.08088
316	0.15318	0.07071
317	0.14027	0.06142
318	0.12816	0.05289
319	0.11775	0.04563
320	0.10844	0.03899
321	0.10026	0.03352
322	0.09296	0.02842
323	0.08664	0.02399
324	0.08128	0.02057
325	0.07624	0.0172
