245	0.35459	1.09184	0.43823	0.72193	0.34218	0.54319
246	0.36678	1.09117	0.43782	0.7134	0.33995	0.5356
247	0.37803	1.09608	0.43433	0.70158	0.33776	0.52995
248	0.3977	1.11134	0.43289	0.69226	0.33458	0.52883
249	0.41779	1.13213	0.44262	0.68747	0.33735	0.53314
250	0.43925	1.15999	0.4549	0.68228	0.33789	0.5383
251	0.45837	1.19602	0.46971	0.68128	0.34021	0.55337
252	0.48919	1.23447	0.48573	0.68159	0.3407	0.57071
253	0.5175	1.27285	0.50201	0.68072	0.34134	0.58334
254	0.54853	1.3161	0.52096	0.68441	0.34432	0.60186
255	0.58142	1.36626	0.5472	0.68887	0.34914	0.62022
256	0.61287	1.41809	0.57578	0.69259	0.35455	0.64379
257	0.64727	1.47574	0.6015	0.69815	0.35919	0.67094
258	0.68157	1.52679	0.62418	0.69244	0.35922	0.69309
259	0.71873	1.58343	0.65295	0.69396	0.36123	0.70874
260	0.75283	1.64152	0.68414	0.69837	0.36556	0.73234
261	0.78741	1.69788	0.71162	0.70217	0.36928	0.75733
262	0.828	1.76159	0.74061	0.70303	0.37278	0.78185
263	0.86528	1.82673	0.77293	0.70761	0.37681	0.80423
264	0.90198	1.88586	0.80608	0.71175	0.38145	0.82725
265	0.94035	1.94035	0.83616	0.7201	0.38801	0.8525
266	0.97118	2.00657	0.86484	0.726	0.39011	0.87816
267	1.00271	2.07779	0.89608	0.72942	0.39429	0.90466
268	1.03337	2.1433	0.92206	0.73218	0.39912	0.92349
269	1.06553	2.18534	0.95226	0.73707	0.40413	0.9387
270	1.09425	2.23885	0.98113	0.74424	0.40861	0.95746
271	1.12	2.30129	1.00318	0.74524	0.41252	0.97562
272	1.13414	2.33621	1.02943	0.74641	0.41396	0.99358
273	1.15043	2.37487	1.05589	0.74942	0.41927	1.01397
274	1.16323	2.41208	1.07679	0.74814	0.41738	1.027
275	1.17125	2.47292	1.09709	0.74558	0.41727	1.03871
276	1.17899	2.47608	1.10698	0.74504	0.41887	1.04645
277	1.17806	2.5019	1.12265	0.74231	0.4202	1.05071
278	1.16672	2.53789	1.13071	0.74104	0.41961	1.05353
279	1.15216	2.55358	1.13201	0.73433	0.41732	1.05458
280	1.1363	2.55162	1.13721	0.72347	0.41321	1.05123
281	1.11362	2.53081	1.13894	0.71462	0.41044	1.03804
282	1.08685	2.52355	1.13007	0.70929	0.40815	1.02549
283	1.0532	2.50281	1.11274	0.69777	0.40278	1.01206
284	1.01701	2.46379	1.09687	0.68263	0.39307	0.99075
285	0.97889	2.4473	1.08141	0.67373	0.38886	0.97043
286	0.93482	2.41186	1.0602	0.65976	0.38225	0.94397
287	0.88497	2.3644	1.03389	0.64239	0.37238	0.91473
288	0.83848	2.32185	1.01214	0.62889	0.36836	0.88718
289	0.78823	2.27469	0.98267	0.61348	0.3559	0.8548
290	0.73594	2.21098	0.94445	0.59802	0.3448	0.822
291	0.68176	2.13545	0.91227	0.58123	0.33547	0.79179
292	0.63203	2.06336	0.88101	0.56571	0.3267	0.75632
293	0.58536	2.00714	0.84579	0.54829	0.31803	0.72443
294	0.53822	1.93953	0.81077	0.53111	0.30643	0.69377
295	0.49522	1.85686	0.77045	0.51847	0.29791	0.66323
296	0.45376	1.77948	0.73507	0.50374	0.29042	0.62875
297	0.41308	1.70328	0.70431	0.48855	0.27916	0.59141
298	0.37717	1.63158	0.66584	0.47417	0.268	0.55911
299	0.34441	1.55943	0.62711	0.45885	0.2621	0.52808
300	0.31374	1.47869	0.58956	0.44741	0.25624	0.49656
301	0.28504	1.39903	0.55212	0.43418	0.24476	0.46543
302	0.26234	1.32163	0.51616	0.42268	0.23623	0.43543
303	0.24126	1.24199	0.48067	0.41197	0.23097	0.40573
304	0.21868	1.16708	0.44589	0.39903	0.22229	0.37747
305	0.19691	1.0918	0.41068	0.3873	0.2114	0.34695
306	0.17719	1.02113	0.37834	0.37546	0.20572	0.32017
307	0.16199	0.95624	0.34453	0.36333	0.20113	0.29669
308	0.14872	0.89156	0.31336	0.35113	0.19312	0.27329
309	0.13549	0.82754	0.28746	0.34331	0.1869	0.24921
310	0.1211	0.77106	0.25881	0.33665	0.18023	0.22657
311	0.109	0.72086	0.23209	0.32973	0.17626	0.20778
312	0.10087	0.67057	0.20844	0.32111	0.17357	0.19075
313	0.09499	0.62474	0.19113	0.31495	0.17023	0.17726
314	0.08507	0.57914	0.17043	0.3061	0.16235	0.16098
315	0.07806	0.54129	0.15288	0.29874	0.15784	0.1478
316	0.074	0.51102	0.13975	0.29495	0.15771	0.13769
317	0.06764	0.48036	0.12527	0.28818	0.15489	0.12555
318	0.0599	0.44953	0.11159	0.27884	0.14963	0.11341
319	0.05313	0.42203	0.09971	0.27902	0.14579	0.105
320	0.04686	0.40008	0.08958	0.2719	0.13925	0.09697
321	0.04909	0.38283	0.08513	0.26986	0.1387	0.09158
322	0.04792	0.3683	0.08118	0.27254	0.14009	0.08676
323	0.03869	0.34917	0.0681	0.25976	0.13467	0.08019
324	0.03924	0.33743	0.06273	0.25503	0.13693	0.0766
325	0.04006	0.33043	0.06054	0.25528	0.13567	0.07437
