Wavelength (nm),Absorbance (AU),Std.Dev.
190,2.18278789520264,0.0380209343617112
191,2.2966775894165,0.0401713349622455
192,2.35881042480469,0.0275895109797931
193,2.31683826446533,0.0512776686250612
194,2.89161205291748,0.082315587940963
195,2.84648180007935,0.0404750992790828
196,1.74175786972046,0.00875104523274115
197,1.49782848358154,0.00338841330121631
198,1.20492887496948,0.0028580815772039
199,1.00532054901123,0.00260702115812283
200,0.840098857879639,0.00265945416622915
201,0.711640357971191,0.00247149993652828
202,0.611527442932129,0.00226673920955932
203,0.536299228668213,0.00222605808299903
204,0.483748435974121,0.00216776864099148
205,0.445279121398926,0.00213677535601017
206,0.416889190673828,0.00202534201553562
207,0.398926258087158,0.00193449914330522
208,0.388078212738037,0.0017968479444706
209,0.380508899688721,0.00185267086897413
210,0.374032497406006,0.00178814519245463
211,0.370843410491943,0.00169062975884577
212,0.37106466293335,0.00163870443600483
213,0.371894359588623,0.00159773438875835
214,0.373822212219238,0.00165475218225912
215,0.376216888427734,0.00170096149085299
216,0.380709648132324,0.00163529090919216
217,0.384974479675293,0.00149645084471991
218,0.387411117553711,0.00139857435888699
219,0.387198448181152,0.00145415539254388
220,0.388881206512451,0.00143793342369116
221,0.391571998596191,0.00142618669989599
222,0.394644260406494,0.00141310722002876
223,0.396449089050293,0.00135824651849045
224,0.396512508392334,0.00124576589103847
225,0.396090984344482,0.0012360561005297
226,0.394787311553955,0.00113621640165938
227,0.392599105834961,0.00115191225281416
228,0.389708518981934,0.00116811985135666
229,0.385104179382324,0.00110741916535061
230,0.378061771392822,0.0010900960496894
231,0.367860794067383,0.00110723518466469
232,0.354866981506348,0.00114283135045219
233,0.340406894683838,0.00110828609149262
234,0.326185703277588,0.00104394541776994
235,0.312496662139893,0.00103712070947405
236,0.299447059631348,0.00100293897533481
237,0.285912036895752,0.000977337053216546
238,0.271671295166016,0.000950342078797609
239,0.257618427276611,0.000933720699760863
240,0.244475364685059,0.000933564838057512
241,0.234137058258057,0.000938508564128527
242,0.227979183197021,0.000976219713131089
243,0.226590156555176,0.000959925192965913
244,0.230455875396729,0.000920884038219963
245,0.240005970001221,0.000907352828815827
246,0.254702091217041,0.000918494819500546
247,0.274847030639648,0.000842193239144709
248,0.29915714263916,0.000813130260361817
249,0.327324390411377,0.000814221194746205
250,0.360005855560303,0.000879715838026693
251,0.39601469039917,0.000857433298378101
252,0.435079574584961,0.000815274972000787
253,0.478102207183838,0.000810010341796081
254,0.522616863250732,0.000852104666243879
255,0.570797920227051,0.000804078101676908
256,0.62128210067749,0.000779468770775823
257,0.675156116485596,0.000839874716121312
258,0.731098651885986,0.000860905422454279
259,0.787271976470947,0.000907160355171346
260,0.846384048461914,0.000849213645019558
261,0.907709121704102,0.000730033796014751
262,0.967954635620117,0.00065644943876709
263,1.02972459793091,0.000714968305690589
264,1.09115314483643,0.00088479598521675
265,1.15411520004272,0.000765662103600529
266,1.21429109573364,0.000872874090305602
267,1.27376747131348,0.00155519925613292
268,1.33361864089966,0.00178119812647259
269,1.38801193237305,0.00157435657238672
270,1.43826150894165,0.00225721797243368
271,1.48631000518799,0.00243108474934747
272,1.52670478820801,0.00250467340438027
273,1.56527042388916,0.0023397252175394
274,1.59578084945679,0.00328152666742044
275,1.61660289764404,0.00467088456643302
276,1.63561868667603,0.00530962010469536
277,1.64234066009521,0.00356435644985417
278,1.63817453384399,0.00519489501767194
279,1.62655639648437,0.00459803803446057
280,1.60506629943848,0.00328925133568537
281,1.57413768768311,0.00381091120712013
282,1.52912378311157,0.0022319597782259
283,1.46841812133789,0.00263769696774761
284,1.41263341903687,0.00170431179509615
285,1.34548473358154,0.00259026652261376
286,1.27685928344727,0.00203629097450039
287,1.19196939468384,0.00203108181623963
288,1.11020231246948,0.00167127281333529
289,1.02538871765137,0.00159773438875835
290,0.937672138214111,0.00116490136873285
291,0.847053050994873,0.0010793908193254
292,0.761948585510254,0.000867237675993676
293,0.678829669952393,0.000780028640197573
294,0.599269390106201,0.000723385700447605
295,0.522977352142334,0.000700659269648368
296,0.451913833618164,0.000476699809320474
297,0.386407375335693,0.000525888913093927
298,0.327458381652832,0.000703085030638274
299,0.27401876449585,0.00059816593988214
300,0.227718830108643,0.000564588082656175
301,0.187164783477783,0.000609564273429078
302,0.152365684509277,0.000572509684288166
303,0.122888565063477,0.000634433586135402
304,0.0970463752746582,0.000582787870009391
305,0.0758671760559082,0.000563439954761864
306,0.058220386505127,0.000554510566874421
307,0.0434112548828125,0.000525750539479351
308,0.031247615814209,0.000518532291833917
309,0.020998477935791,0.000472476089935524
310,0.0127391815185547,0.000452857749534414
311,0.00596380233764648,0.000477904079820645
312,0.000176429748535156,0.000503568937454963
313,-0.00435495376586914,0.000532980240884171
314,-0.00840902328491211,0.000553486151035036
315,-0.011772632598877,0.000578602939625965
316,-0.0144386291503906,0.000547312684830099
317,-0.0168857574462891,0.000542599621175981
318,-0.0189528465270996,0.00050642171555408
319,-0.0207133293151855,0.000525335199949496
320,-0.0218782424926758,0.000528442289405721
321,-0.0233535766601562,0.000530091957173247
322,-0.0245647430419922,0.000551431610094991
323,-0.0255861282348633,0.000569617462729941
324,-0.0267720222473145,0.000531216283738074
325,-0.0273041725158691,0.000516042681063411
326,-0.0281124114990234,0.000530325245126654
327,-0.0289320945739746,0.000491000590211818
328,-0.0295729637145996,0.000519205382874153
329,-0.030055046081543,0.00051952759662577
330,-0.030703067779541,0.000501411447217247
331,-0.0312461853027344,0.000485021918661186
332,-0.031822681427002,0.000491607778734955
333,-0.0320138931274414,0.000471203907617946
334,-0.0326051712036133,0.000526193206959322
335,-0.0328183174133301,0.000501948065305509
336,-0.033350944519043,0.000492539316980994
337,-0.033851146697998,0.000521903007506731
338,-0.0340375900268555,0.000483406589420054
339,-0.0345430374145508,0.000501890080199868
340,-0.0346364974975586,0.00047756901844047
341,-0.0349044799804687,0.000547551923976204
342,-0.0349235534667969,0.000540032344486606
343,-0.0350222587585449,0.000556422994131922
344,-0.0357117652893066,0.000570804153771794
345,-0.0358157157897949,0.000495514344543358
346,-0.0360450744628906,0.000460813219178816
347,-0.0362710952758789,0.000468268656455507
348,-0.0363359451293945,0.000442726803083445
349,-0.0363926887512207,0.000446229909382325
350,-0.0364775657653809,0.000441187508996611
351,-0.0364546775817871,0.000472491489315935
352,-0.0362672805786133,0.000610268110292184
353,-0.0365290641784668,0.000643870726886184
354,-0.0369081497192383,0.00065437348472407
355,-0.0365347862243652,0.000576170844545898
356,-0.0358614921569824,0.000525016550458864
357,-0.0352053642272949,0.000486168163392821
358,-0.0357379913330078,0.000461326088807977
359,-0.0377278327941895,0.000382783534696081
360,-0.0384426116943359,0.000389500952775906
361,-0.0386333465576172,0.000405489938426735
362,-0.0374636650085449,0.000476195857818651
363,-0.0360054969787598,0.000550507208441423
364,-0.0358877182006836,0.000597301687302045
365,-0.0367369651794434,0.00055613524098344
366,-0.0359535217285156,0.000552538850662229
367,-0.0349822044372559,0.000529116525047697
368,-0.0358905792236328,0.000413001542792884
369,-0.0353384017944336,0.000382498308108677
370,-0.0363750457763672,0.000456896596516692
371,-0.0356616973876953,0.000478033472456332
372,-0.0359945297241211,0.000462342252824782
373,-0.0357060432434082,0.000474504487197862
374,-0.0351977348327637,0.000513257558521183
375,-0.0339956283569336,0.000499492328860364
376,-0.0344018936157227,0.000495088335660023
377,-0.0337982177734375,0.000553538731299349
