245	0.72846	0.72298	0.71743	0.74405
246	0.70457	0.69849	0.69329	0.7203
247	0.68812	0.6822	0.6772	0.70258
248	0.6778	0.67202	0.66713	0.69239
249	0.67486	0.66873	0.66416	0.68999
250	0.67787	0.67185	0.66734	0.6919
251	0.68632	0.68091	0.67621	0.70071
252	0.69858	0.69152	0.68827	0.71226
253	0.71367	0.70773	0.70365	0.72687
254	0.73103	0.72473	0.72049	0.74551
255	0.7524	0.74605	0.74206	0.76547
256	0.77775	0.77237	0.76779	0.7909
257	0.80648	0.79941	0.79635	0.82007
258	0.83591	0.82964	0.8258	0.84845
259	0.86347	0.85673	0.85369	0.87716
260	0.8932	0.88638	0.88356	0.90612
261	0.92556	0.9193	0.91584	0.93819
262	0.95934	0.95243	0.94998	0.97162
263	0.99447	0.98844	0.9845	1.00588
264	1.03126	1.02453	1.02145	1.04498
265	1.06488	1.0586	1.05645	1.07745
266	1.09909	1.09426	1.09083	1.11248
267	1.13757	1.13131	1.12821	1.14933
268	1.17446	1.16978	1.16439	1.18493
269	1.20701	1.20048	1.19572	1.22005
270	1.23715	1.23088	1.22741	1.24784
271	1.26608	1.26055	1.25762	1.27809
272	1.29644	1.28765	1.28697	1.30453
273	1.32399	1.31672	1.3126	1.33224
274	1.34763	1.33682	1.33479	1.36087
275	1.36754	1.36243	1.35522	1.3765
276	1.38279	1.37574	1.37402	1.39536
277	1.39617	1.3818	1.38582	1.40176
278	1.40216	1.3946	1.39319	1.41679
279	1.39984	1.39373	1.39031	1.41916
280	1.39805	1.38732	1.38764	1.4058
281	1.39295	1.38554	1.38119	1.40646
282	1.38419	1.37039	1.36727	1.39643
283	1.36491	1.3535	1.35045	1.36855
284	1.33857	1.32837	1.32669	1.35433
285	1.31155	1.29591	1.30002	1.32238
286	1.27429	1.26884	1.26341	1.28897
287	1.24493	1.23259	1.23026	1.25432
288	1.2073	1.195	1.18954	1.21031
289	1.15974	1.14625	1.14673	1.17139
290	1.11517	1.10162	1.10106	1.12467
291	1.06761	1.05895	1.05371	1.08065
292	1.02507	1.01399	1.0093	1.0356
293	0.97978	0.9703	0.96437	0.98896
294	0.93593	0.92587	0.91916	0.94868
295	0.89349	0.88344	0.87981	0.90484
296	0.85548	0.84664	0.84114	0.86678
297	0.81748	0.80739	0.80341	0.82921
298	0.78078	0.77346	0.76637	0.79157
299	0.74597	0.73958	0.73361	0.75937
300	0.71525	0.70808	0.7027	0.7264
301	0.68619	0.67904	0.67336	0.69724
302	0.65811	0.65091	0.64545	0.6691
303	0.6315	0.62577	0.61947	0.64266
304	0.60648	0.60051	0.59425	0.61803
305	0.58327	0.57757	0.57131	0.59337
306	0.56103	0.55599	0.54959	0.57235
307	0.54031	0.53515	0.52934	0.55083
308	0.5204	0.51621	0.50956	0.53117
309	0.50204	0.49764	0.49119	0.5133
310	0.485	0.48075	0.47458	0.49591
311	0.46834	0.46449	0.45802	0.47921
312	0.45208	0.44826	0.44192	0.46295
313	0.43715	0.43356	0.42721	0.44732
314	0.4224	0.41874	0.41248	0.43308
315	0.40777	0.40387	0.3982	0.4182
316	0.39341	0.39017	0.384	0.40385
317	0.37948	0.37637	0.36988	0.38991
318	0.36499	0.36188	0.3559	0.37498
319	0.35072	0.34795	0.34177	0.36102
320	0.33632	0.33342	0.32751	0.34629
321	0.32151	0.319	0.31295	0.33158
322	0.30688	0.30453	0.29839	0.31693
323	0.29227	0.28981	0.28405	0.30189
324	0.27735	0.2752	0.2696	0.28694
325	0.2623	0.26027	0.2548	0.27171
